"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm),Case 3 (X<-2mm)
60502.62596806603,,
60502.626291516324,,
60502.62661495968,,
60502.62693798809,,
60502.627261337286,,
60502.62758429845,,
60502.627907596514,,
60502.62823100342,,
60502.62855389167,,
60502.628876935996,,
60502.629199920935,,
60502.629522648844,,
60502.62984588153,,
60502.63016881978,,
60502.63049184074,,
60502.63081497869,,
60502.63113810084,,
60502.631461373836,,
60502.631785019985,,
60502.63210864409,,
60502.632755290164,,
60502.633078647275,,
60502.63340199219,,
60502.63372580231,,
60502.63404903385,,
60502.63437228818,,
60502.634695860834,,
60502.6350192602,,
60502.63534246535,,
60502.635990882656,,
60502.636314019706,,
60502.63663699231,,
60502.63728350699,,
60502.63760719025,,
60502.63793060178,,
60502.638253690755,,
60502.638576789155,,
60502.63889979709,,
60502.6392228488,,
60502.63954633277,,
60502.63986939944,,
60502.64019259387,,
60502.640515642,,
60502.6408383936,,
60502.6411615261,,
60502.64148475957,,
60502.64180830261,,
60502.64213115163,,
60502.642779416055,,
60502.64310234685,,
60502.64342524486,,
60502.64374841096,,
60502.64407294677,,
60502.644395864445,,
60502.644718550284,,
60502.64504139843,,
60502.645364063246,,
60502.64568870704,,
60502.646011513025,,
60502.646334265766,,
60502.6466598409,,
60502.64698362241,,
60502.647306471095,,
60502.647629931525,,
60502.647953516964,,
60502.648276673375,,
60502.64860003344,,
60502.648923268636,,
60502.649246719215,,
60502.64956996978,,
60502.649893234426,,
60502.65021646265,,
60502.65053954221,,
60502.650862355484,,
60502.65118533689,,
60502.65150839578,,
60502.651831386254,,
60502.6521543156,,
60502.65247759031,,
60502.65280139443,,
60502.65312510985,,
60502.65344800944,,
60502.65377115972,,
60502.65409414991,,
60502.654416875186,,
60502.65774321489,,
60502.65806625806,,
60502.65838935465,,
60502.65871259707,,
60502.659035484074,,
60502.659358815465,,
60502.65968411015,,
60502.66021865704,,
60502.66054143166,,
60502.66086428166,,
60502.66118717476,,
60502.66150985298,,
60502.661832466176,,
60502.6618912915,,
60502.66188891385,,
60502.66190125295,,
60502.66190155545,,
60502.66188757021,,
60502.66189975231,,
60502.66192268039,,
60502.662245737345,,
60502.662568745895,,
60502.66289191993,,
60502.66321494446,,
60502.663537975604,,
60502.66386063363,,
60502.66718766025,,
60502.6675108916,,
60502.66783402625,,
60502.66815674609,,
60502.66847952353,,
60502.66880228305,,
60502.66912545876,,
60502.669448273795,,
60502.66977104527,,
60502.6700955304,,
60502.67041841655,,
60502.67074123763,,
60502.67106395904,,
60502.671387805036,,
60502.67171064803,,
60502.672033489616,,
60502.672200892834,,
60502.67220158277,,
60502.672202167065,,
60502.67127624074,,
60502.67159924327,,
60502.67192197061,,
60502.67224492308,,
60502.67256794483,,
60502.6732161376,,
60502.67353923397,,
60502.67386219492,,
60502.674185177966,,
60502.674508230135,,
60502.674832376564,,
60502.675155208206,,
60502.67547812047,,
60502.675800815705,,
60502.67612354304,,
60502.676446490135,,
60502.67676924655,,
60502.67709192086,,
60502.67741819194,,
60502.67774486859,,
60502.67807068207,,
60502.6783935704,,
60502.679145787864,,
60502.679468726325,,
60502.6797916199,,
60502.68011472707,,
60502.68043773369,,
60502.680760701274,,
60502.68108449613,,
60502.6814071509,,
60502.68173016686,,
60502.68205281961,,
60502.68237559413,,
60502.682698843404,,
60502.683021862045,,
60502.68334460439,,
60502.683667421246,,
60502.68399018123,,
60502.68431367717,,
60502.68463698215,,
60502.68496013825,,
60502.6852834571,,
60502.685606978994,,
60502.68593023003,,
60502.68625427607,,
60502.68657774079,,
60502.686901070476,,
60502.68722458733,,
60502.68787114662,,
60502.68819460306,,
60502.68851944661,,
60502.688842600546,,
60502.68916578416,,
60502.689489240576,,
60502.68981253222,,
60502.69013595483,,
60502.69045946993,,
60502.69078259308,,
