"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm),Case 3 (X<-2mm)
60502.942853040324,,
60502.943176021676,,
60502.94349901367,,
60502.94382192039,,
60502.944145097455,,
60502.944471472576,,
60502.94479440256,,
60502.94511750191,,
60502.94544047258,,
60502.9457635659,,
60502.946086505835,,
60502.946409448,,
60502.94673243646,,
60502.94705545609,,
60502.94737846225,,
60502.94770137339,,
60502.94802437871,,
60502.94834739144,,
60502.9486702865,,
60502.9489930827,,
60502.949316056634,,
60502.949639139704,,
60502.94996195503,,
60502.95028468018,,
60502.95060754633,,
60502.95093026114,,
60502.95125302259,,
60502.95157575274,,
60502.95189858541,,
60502.95222140781,,
60502.95254422674,,
60502.95286713397,,
60502.953189871616,,
60502.95351265714,,
60502.953835344146,,
60502.954158343244,,
60502.95448116357,,
60502.954804342226,,
60502.95513106596,,
60502.95545423447,,
60502.95577745028,,
60502.956100719006,,
60502.956423845775,,
60502.95674688039,,
60502.957070079894,,
60502.95739318973,,
60502.957716193065,,
60502.958039435456,,
60502.95836254354,,
60502.958685613645,,
60502.95933124687,,
60502.959654324426,,
60502.95997736157,,
60502.96094533017,,
60502.96159067539,,
60502.961913589184,,
60502.96223660375,,
60502.96255988557,,
60502.962883069136,,
60502.964496027394,,
60502.96481898181,,
60502.96514189397,,
60502.965791082905,,
60502.96611390828,,
60502.96643668732,,
60502.966759725554,,
60502.96708256526,,
60502.96740546813,,
60502.967728433825,,
60502.96805128218,,
60502.96837415578,,
60502.96869684782,,
60502.969019795186,,
60502.969342705954,,
60502.9696655032,,
60502.969988281926,,
60502.97031101638,,
60502.97063375157,,
60502.97095653252,,
60502.97127929653,,
60502.97160211767,,
60502.971924876976,,
60502.97224765478,,
60502.97257034807,,
60502.972893439735,,
60502.973216262,,
60502.97353895849,,
60502.97386176277,,
60502.97418447779,,
60502.974507235434,,
60502.97482997858,,
60502.975153079184,,
60502.975476215,,
60502.975799292224,,
60502.97612238883,,
60502.976449048176,,
60502.97677246125,,
60502.97709544797,,
60502.977418515264,,
60502.97774157807,,
60502.978064536204,,
60502.978387898285,,
60502.97871134525,,
60502.979034328724,,
60502.979357340235,,
60502.97968025858,,
60502.980003167155,,
60502.9803261019,,
60502.98064902597,,
60502.98097204855,,
60502.981295139274,,
60502.98161815556,,
60502.98194104006,,
60502.98226393142,,
60502.98258686185,,
60502.98290997176,,
60502.98323304408,,
60502.98355599602,,
60502.98387889901,,
60502.98420223319,,
60502.98452518619,,
60502.984848482534,,
60502.98517147006,,
60502.98549434873,,
60502.98581721456,,
60502.98614023206,,
60502.986463058536,,
60502.98678599916,,
60502.98711266855,,
60502.98743558696,,
60502.98775844791,,
60502.9880813989,,
60502.988404457836,,
60502.98872735299,,
60502.98905018667,,
60502.98937303016,,
60502.98969598542,,
60502.990018869394,,
60502.990342170975,,
60502.990665002355,,
60502.9909878776,,
60502.991310707286,,
60502.99163339418,,
60502.991956204474,,
60502.992278980266,,
60502.99260173421,,
60502.992924550104,,
60502.99324732894,,
60502.9935705087,,
60502.99389345563,,
60502.994216556166,,
60502.994539610816,,
60502.99486286871,,
60502.99518602036,,
60502.99550917271,,
60502.995832375556,,
60502.99615549169,,
60502.996478675705,,
60502.99680169185,,
60502.997124800575,,
60502.99744834357,,
60502.99777519322,,
60502.99809828052,,
60502.998421441436,,
60502.998744481054,,
60502.9990677752,,
60502.999390699406,,
60502.999713932106,,
60503.00003698178,,
60503.00035992492,,
60503.000682992206,,
60503.00100600542,,
60503.00132894791,,
60503.001652050385,,
60503.001975105915,,
60503.00229825398,,
60503.002621285545,,
60503.002944222906,,
60503.003267093765,,
60503.00664368228,,
60503.00696694448,,
60503.00728997967,,
60503.00761306612,,
60503.007936172166,,
60503.00825930483,,
60503.00858246318,,
60503.00890566144,,
60503.00922881751,,
60503.00955196332,,
60503.00987487695,,
60503.01019784391,,
60503.01052073941,,
60503.01084766535,,
60503.011170678205,,
60503.011493564205,,
60503.011816536935,,
60503.012139580576,,
60503.012462626946,,
60503.01278558193,,
60503.01310856695,,
60503.01343145864,,
60503.013754508815,,
60503.01407736216,,
60503.01440031227,,
60503.01472325874,,
60503.01504629999,,
60503.01536915289,,
60503.015692001674,,
60503.01601476704,,
60503.01633753904,,
60503.0166602938,,
60503.01698337584,,
60503.01730623751,,
60503.01762906341,,
60503.01795190193,,
60503.01827480581,,
60503.01859764575,,
60503.018920522176,,
60503.01924331864,,
60503.01956607929,,
60503.01988923105,,
60503.02021197428,,
60503.02053480757,,
60503.02085767401,,
60503.021180406045,,
60503.02150703588,,
60503.02182984883,,
60503.02215259902,,
60503.02247538532,,
60503.02279809678,,
60503.02312087221,,
60503.02344400456,,
60503.02376730402,,
60503.02409044286,,
60503.02441349965,,
60503.024736925705,,
60503.025060139065,,
60503.025383179316,,
60503.025706271525,,
60503.02602942108,,
60503.026352570014,,
60503.02667608795,,
60503.02699925225,,
60503.027322179376,,
60503.02764518458,,
60503.02796822084,,
60503.02829126981,,
60503.028614300914,,
60503.02893720004,,
60503.02926016378,,
60503.02958321704,,
60503.02990621849,,
60503.03022920799,,
60503.030552242846,,
60503.030875292476,,
60503.03119836292,,
60503.03152135384,,
60503.03184435861,,
60503.03217147218,,
60503.03249471701,,
60503.03281790206,,
60503.03314116174,,
60503.033464067186,,
60503.03378704713,,
60503.034109964516,,
60503.03443289049,,
60503.03475577489,,
60503.03507904185,,
60503.03540192921,,
60503.03572488982,,
60503.036047919406,,
60503.03637074219,,
60503.0366938159,,
60503.03701678443,,
60503.03733972933,,
60503.037662639574,,
60503.03798544416,,
60503.03830832788,,
60503.03863124135,,
60503.03895427595,,
60503.03927711597,,
60503.039599867894,,
60503.039922681375,,
60503.040249063066,,
60503.04057201813,,
60503.04089484698,,
60503.041218128885,,
60503.04154091957,,
60503.04186377337,,
60503.04218651276,,
60503.04250928092,,
60503.04283587349,,
60503.04315865501,,
60503.043481503715,,
60503.04380464154,,
60503.0441277635,,
60503.04445097964,,
60503.04477426194,,
60503.04509731748,,
60503.04542057526,,
60503.045743908,,
60503.04606696876,,
60503.046390305615,,
60503.04671340474,,
60503.047036532516,,
60503.047359544944,,
60503.04768263852,,
60503.048005688936,,
60503.04832880202,,
60503.04865219231,,
60503.0489751969,,
60503.04929825972,,
60503.04995678296,,
60503.050279874624,,
60503.05060293265,,
60503.05092606511,,
60503.0512491245,,
60503.051572146025,,
60503.05189509965,,
60503.05221823723,,
60503.05254116603,,
60503.052864174075,,
60503.053187192076,,
60503.053513942,,
60503.05383704259,,
60503.05416005316,,
60503.054483089036,,
60503.054806040396,,
60503.05512896704,,
60503.055451815024,,
60503.055774746594,,
60503.05609763907,,
60503.05642085752,,
60503.05674374834,,
60503.05706672757,,
60503.05738978247,,
60503.05771272253,,
60503.05803839086,,
60503.058361184165,,
60503.05868418727,,
60503.05900707892,,
60503.05933014482,,
60503.059653131124,,
60503.05997642788,,
60503.060299332414,,
60503.060622112695,,
60503.06094506571,,
60503.0612679203,,
60503.061590782505,,
60503.061913582686,,
60503.0622362697,,
60503.06255914312,,
60503.06288199479,,
60503.0634714544,,
60503.063794728136,,
60503.06412188619,,
60503.064444960284,,
60503.06476803345,,
60503.06509113913,,
60503.06541426816,,
60503.065737368815,,
60503.066060560115,,
60503.06638364634,,
60503.066706636935,,
60503.06702962529,,
60503.067352644415,,
60503.06767576569,,
60503.06799888773,,
60503.06832195902,,
60503.06864506949,,
60503.06896810741,,
60503.06929105136,,
60503.06961443135,,
60503.06993747913,,
60503.07026069575,,
60503.07058393219,,
60503.070907370755,,
60503.07123056434,,
60503.071553756396,,
60503.0718770121,,
60503.07220011389,,
60503.07252314511,,
60503.072846367766,,
60503.07316928108,,
60503.07349236529,,
60503.07381527004,,
60503.07413812551,,
60503.07446115932,,
60503.07478820243,,
60503.075111063095,,
60503.07543428846,,
60503.07575724511,,
60503.07608011191,,
60503.07640300464,,
60503.07672616831,,
60503.07704918606,,
60503.07737225425,,
60503.07769508742,,
60503.078017971464,,
60503.07834073806,,
60503.07866361655,,
60503.078986525674,,
60503.07930950425,,
60503.07963246351,,
60503.079955526235,,
60503.08027843181,,
60503.08060124619,,
60503.08092408403,,
60503.08124677961,,
60503.0815696244,,
60503.08189231319,,
60503.0822150766,,
60503.0825383239,,
60503.08286144837,,
60503.0831846331,,
60503.083507675925,,
60503.08383082946,,
60503.08415412191,,
60503.08447716794,,
60503.08480054883,,
60503.085123764016,,
60503.0854506785,,
60503.085774084815,,
60503.08609712222,,
60503.086420329615,,
60503.086743423584,,
60503.087066651555,,
60503.08738972661,,
60503.08771268929,,
60503.0883717387,,
60503.088694882405,,
60503.0890184184,,
60503.08934131372,,
60503.089664592044,,
60503.08998762396,,
60503.09031082895,,
60503.09063372022,,
60503.09095667912,,
60503.09127960424,,
60503.091602895336,,
60503.09192594438,,
60503.09224893301,,
60503.0925719329,,
60503.09289500055,,
60503.0932183077,,
60503.09354150157,,
60503.093864586655,,
60503.09418758593,,
60503.094510604,,
60503.09483363957,,
60503.095156724085,,
60503.09547964307,,
60503.09580265961,,
60503.09612958688,,
60503.096452806785,,
60503.096775706086,,
60503.09709884605,,
60503.09742205363,,
60503.09774512933,,
60503.09806838206,,
60503.0983913081,,
60503.098714145366,,
60503.099037286636,,
60503.09936037268,,
60503.09968328323,,
60503.10000628732,,
60503.100328951434,,
60503.100651855246,,
60503.10097463064,,
60503.10129731422,,
60503.10162015272,,
60503.10194296879,,
60503.102265692345,,
60503.102588668655,,
60503.10291153843,,
60503.103234567374,,
60503.10355768018,,
60503.10388071616,,
60503.104203681025,,
60503.10452669364,,
60503.104849608535,,
60503.10517280122,,
60503.10549634262,,
60503.10581953873,,
60503.10614278028,,
60503.10646597277,,
60503.10679309231,,
60503.10711636831,,
60503.10743958684,,
60503.10776268668,,
60503.10808586677,,
60503.10840933722,,
