energy_keV,PA_bin,PA_center_rad,PA_center_deg,probability_sum,max_phi_bin,max_pixel_id,max_probability
15,24,0.20943951023931956,12.000000000000002,0.9999999999999998,19,387,0.0008096714683299913
20,24,0.20943951023931956,12.000000000000002,0.9999999999999999,1,868,0.0006930717639509927
30,24,0.20943951023931956,12.000000000000002,1.0,1,868,0.0006432505277168738
40,24,0.20943951023931956,12.000000000000002,1.0,19,388,0.0006285365738121548
50,24,0.20943951023931956,12.000000000000002,1.0,19,388,0.0006195614980934679
60,24,0.20943951023931956,12.000000000000002,1.0,19,388,0.0006120123453082207
80,24,0.20943951023931956,12.000000000000002,0.9999999999999999,1,868,0.0005986760254644869
100,24,0.20943951023931956,12.000000000000002,1.0,19,388,0.0005871196810666222
15,25,0.2181661564992912,12.5,1.0,19,387,0.0008093065616219042
20,25,0.2181661564992912,12.5,0.9999999999999998,1,868,0.0006927347096260797
30,25,0.2181661564992912,12.5,1.0,1,868,0.000642937702431471
40,25,0.2181661564992912,12.5,0.9999999999999999,19,388,0.0006282309042096933
50,25,0.2181661564992912,12.5,1.0,19,388,0.0006192601932454826
60,25,0.2181661564992912,12.5,1.0000000000000002,19,388,0.0006117147117605568
80,25,0.2181661564992912,12.5,0.9999999999999998,1,868,0.0005983848776294282
100,25,0.2181661564992912,12.5,1.0,19,388,0.0005868341533073752
15,26,0.22689280275926285,13.0,1.0,19,387,0.0008088607910237579
20,26,0.22689280275926285,13.0,1.0,1,868,0.0006923229635421973
30,26,0.22689280275926285,13.0,1.0,1,868,0.0006425555545796821
40,26,0.22689280275926285,13.0,1.0,19,388,0.0006278574977512376
50,26,0.22689280275926285,13.0,0.9999999999999999,19,388,0.0006188921187778356
60,26,0.22689280275926285,13.0,1.0,19,388,0.0006113511221590586
80,26,0.22689280275926285,13.0,1.0,1,868,0.0005980292109844565
100,26,0.22689280275926285,13.0,0.9999999999999999,19,388,0.0005864853521557092
15,27,0.23561944901923448,13.5,1.0,19,387,0.0008083342923216008
20,27,0.23561944901923448,13.5,0.9999999999999999,1,868,0.000691836651121205
30,27,0.23561944901923448,13.5,1.0,1,868,0.0006421042005674462
40,27,0.23561944901923448,13.5,1.0000000000000002,19,388,0.0006274164681800185
50,27,0.23561944901923448,13.5,1.0000000000000002,19,388,0.0006184573868095768
60,27,0.23561944901923448,13.5,1.0,19,388,0.0006109216872566441
80,27,0.23561944901923448,13.5,0.9999999999999998,1,868,0.0005976091338690876
100,27,0.23561944901923448,13.5,1.0,19,388,0.0005860733838598315
15,28,0.24434609527920614,14.0,0.9999999999999998,19,387,0.0008077272258920341
20,28,0.24434609527920614,14.0,1.0,1,868,0.0006912759204985791
30,28,0.24434609527920614,14.0,1.0000000000000002,1,868,0.0006415837778815598
40,28,0.24434609527920614,14.0,1.0,19,388,0.0006269079498379122
50,28,0.24434609527920614,14.0,1.0,19,388,0.0006179561297642809
60,28,0.24434609527920614,14.0,1.0,19,388,0.0006104265378633358
80,28,0.24434609527920614,14.0,1.0,1,868,0.0005971247742428842
100,28,0.24434609527920614,14.0,1.0,19,388,0.0005855983739092789
15,29,0.2530727415391778,14.500000000000002,1.0,19,387,0.0008070397766533557
20,29,0.2530727415391778,14.500000000000002,1.0,1,868,0.000690640942478285
30,29,0.2530727415391778,14.500000000000002,1.0,1,868,0.0006409944450478231
40,29,0.2530727415391778,14.500000000000002,0.9999999999999999,19,388,0.0006263320976245235
50,29,0.2530727415391778,14.500000000000002,1.0,19,388,0.0006173885003296969
60,29,0.2530727415391778,14.500000000000002,1.0,19,388,0.0006098658248064357
80,29,0.2530727415391778,14.500000000000002,1.0,1,868,0.0005965762796464807
100,29,0.2530727415391778,14.500000000000002,1.0,19,388,0.0005850604669966827
15,30,0.2617993877991494,14.999999999999998,0.9999999999999999,19,387,0.0008062721540092684
20,30,0.2617993877991494,14.999999999999998,1.0,1,868,0.0006899319104807767
30,30,0.2617993877991494,14.999999999999998,1.0,1,868,0.0006403363815827236
40,30,0.2617993877991494,14.999999999999998,0.9999999999999999,19,388,0.0006256890869500173
50,30,0.2617993877991494,14.999999999999998,1.0,19,388,0.0006167546714112372
60,30,0.2617993877991494,14.999999999999998,1.0,19,388,0.0006092397188845672
80,30,0.2617993877991494,14.999999999999998,1.0,1,868,0.000595963817156638
100,30,0.2617993877991494,14.999999999999998,1.0000000000000002,19,388,0.000584459826973686
15,31,0.27052603405912107,15.5,0.9999999999999998,19,387,0.0008054245917850819
20,31,0.27052603405912107,15.5,1.0,1,868,0.0006891490404840787
30,31,0.27052603405912107,15.5,0.9999999999999998,1,868,0.0006396097879387577
40,31,0.27052603405912107,15.5,1.0,19,388,0.0006249791136816693
50,31,0.27052603405912107,15.5,1.0000000000000004,19,388,0.0006160548360793309
60,31,0.27052603405912107,15.5,1.0,19,388,0.000608548410815665
80,31,0.27052603405912107,15.5,1.0,1,868,0.0005952875733353647
100,31,0.27052603405912107,15.5,0.9999999999999998,19,388,0.0005837966368010687
15,32,0.2792526803190927,16.0,1.0,19,387,0.0008044973481564604
20,32,0.2792526803190927,16.0,1.0,1,868,0.000688292570957961
30,32,0.2792526803190927,16.0,0.9999999999999998,1,868,0.0006388148854434
40,32,0.2792526803190927,16.0,1.0,19,388,0.000624202394084218
50,32,0.2792526803190927,16.0,1.0,19,388,0.0006152892075106037
60,32,0.2792526803190927,16.0,1.0,19,388,0.0006077921111788576
80,32,0.2792526803190927,16.0,1.0,1,868,0.0005945477541730789
100,32,0.2792526803190927,16.0,1.0,19,388,0.0005830710984929733
15,33,0.2879793265790644,16.5,1.0,19,387,0.0008034907055707933
20,33,0.2879793265790644,16.5,1.0,1,868,0.0006873627627913542
30,33,0.2879793265790644,16.5,1.0,1,868,0.0006379519162316466
40,33,0.2879793265790644,16.5,1.0,19,388,0.0006233591647539779
50,33,0.2879793265790644,16.5,1.0,19,388,0.0006144580189229384
60,33,0.2879793265790644,16.5,1.0,19,388,0.0006069710503503545
80,33,0.2879793265790644,16.5,1.0,1,868,0.00059374458502587
100,33,0.2879793265790644,16.5,1.0,19,388,0.0005822834330554074
15,34,0.29670597283903605,17.0,1.0,19,387,0.0008024049706611667
20,34,0.29670597283903605,17.0,0.9999999999999998,1,868,0.000686359899212824
30,34,0.29670597283903605,17.0,1.0,1,868,0.0006370211431722768
40,34,0.29670597283903605,17.0,1.0,19,388,0.0006224496825467706
50,34,0.29670597283903605,17.0,0.9999999999999998,19,388,0.0006135615235044375
60,34,0.29670597283903605,17.0,1.0,19,388,0.0006060854784332393
80,34,0.29670597283903605,17.0,1.0,1,868,0.0005928783105468396
100,34,0.29670597283903605,17.0,1.0,19,388,0.0005814338804188835
15,35,0.30543261909900765,17.5,1.0,19,387,0.0008012404741529512
20,35,0.30543261909900765,17.5,1.0000000000000004,1,868,0.0006852842857043315
30,35,0.30543261909900765,17.5,1.0,1,868,0.0006360228497877717
40,35,0.30543261909900765,17.5,1.0,19,388,0.0006214742244996903
50,35,0.30543261909900765,17.5,1.0,19,388,0.0006125999943362826
60,35,0.30543261909900765,17.5,1.0,19,388,0.0006051356651812935
80,35,0.30543261909900765,17.5,1.0,1,868,0.0005919491946115795
100,35,0.30543261909900765,17.5,1.0,19,388,0.0005805226993653774
15,36,0.3141592653589793,18.0,1.0,19,387,0.0007999975707630644
20,36,0.3141592653589793,18.0,1.0,1,868,0.0006841362499081787
30,36,0.3141592653589793,18.0,1.0,1,868,0.0006349573401679854
40,36,0.3141592653589793,18.0,1.0,19,388,0.0006204330877467132
50,36,0.3141592653589793,18.0,0.9999999999999999,19,388,0.0006115737243095649
60,36,0.3141592653589793,18.0,1.0,19,388,0.000604121899916836
80,36,0.3141592653589793,18.0,1.0,1,868,0.0005909575202377966
100,36,0.3141592653589793,18.0,0.9999999999999999,19,388,0.0005795501674494645
15,37,0.32288591161895097,18.5,0.9999999999999998,19,387,0.000798676639091912
20,37,0.32288591161895097,18.5,1.0,1,868,0.0006829161415271945
30,37,0.32288591161895097,18.5,1.0,1,868,0.000633824938877469
40,37,0.32288591161895097,18.5,1.0,19,388,0.0006193265894281711
50,37,0.32288591161895097,18.5,0.9999999999999998,19,388,0.0006104830260360874
60,37,0.32288591161895097,18.5,1.0,19,388,0.0006030444914425885
80,37,0.32288591161895097,18.5,1.0,1,868,0.0005899035894991213
100,37,0.32288591161895097,18.5,1.0,19,388,0.0005785165809137877
15,38,0.33161255787892263,19.0,1.0,19,387,0.0007972780815080666
20,38,0.33161255787892263,19.0,1.0,1,868,0.0006816243322182073
30,38,0.33161255787892263,19.0,1.0000000000000002,1,868,0.0006326259908566212
40,38,0.33161255787892263,19.0,1.0,19,388,0.0006181550665941815
50,38,0.33161255787892263,19.0,0.9999999999999998,19,388,0.0006093282317531127
60,38,0.33161255787892263,19.0,1.0,19,388,0.0006019037679476045
80,38,0.33161255787892263,19.0,1.0,1,868,0.0005887877234330688
100,38,0.33161255787892263,19.0,0.9999999999999999,19,388,0.0005774222545988097
15,39,0.34033920413889424,19.5,1.0,19,387,0.0007958023240257054
20,39,0.34033920413889424,19.5,0.9999999999999998,1,868,0.0006802612154788554
30,39,0.34033920413889424,19.5,1.0,1,868,0.0006313608613166281
40,39,0.34033920413889424,19.5,1.0,19,388,0.00061691887610194
50,39,0.34033920413889424,19.5,1.0,19,388,0.0006081096932221597
60,39,0.34033920413889424,19.5,1.0,19,388,0.0006007000769072959
80,39,0.34033920413889424,19.5,0.9999999999999999,1,868,0.0005876102619432491
